2025-02-24 17:03:05,933 - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:3000
 * Running on http://192.168.1.4:3000
2025-02-24 17:03:05,934 - [33mPress CTRL+C to quit[0m
2025-02-24 17:03:05,935 -  * Restarting with watchdog (fsevents)
2025-02-24 17:21:34,485 -  * Restarting with watchdog (fsevents)
2025-02-24 17:21:35,461 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:36,466 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:37,472 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:38,477 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:39,479 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:40,483 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:41,049 -  * Debugger is active!
2025-02-24 17:21:41,061 -  * Debugger PIN: 533-908-980
2025-02-24 17:21:41,070 - 127.0.0.1 - - [24/Feb/2025 17:21:41] "GET /socket.io/?EIO=4&transport=polling&t=PKtp5rW HTTP/1.1" 200 -
2025-02-24 17:21:41,080 - 127.0.0.1 - - [24/Feb/2025 17:21:41] "POST /socket.io/?EIO=4&transport=polling&t=PKtp7KL&sid=a9T3fE6zB_NpqbZyAAAA HTTP/1.1" 200 -
2025-02-24 17:21:41,088 - 127.0.0.1 - - [24/Feb/2025 17:21:41] "GET /socket.io/?EIO=4&transport=polling&t=PKtp7KP&sid=a9T3fE6zB_NpqbZyAAAA HTTP/1.1" 200 -
2025-02-24 17:21:41,093 - 127.0.0.1 - - [24/Feb/2025 17:21:41] "GET /socket.io/?EIO=4&transport=polling&t=PKtp7Ka&sid=a9T3fE6zB_NpqbZyAAAA HTTP/1.1" 200 -
2025-02-24 17:21:41,485 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:42,035 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:42,490 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:43,040 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:43,496 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:44,043 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:44,501 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:45,044 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:45,506 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:46,050 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:46,081 - 127.0.0.1 - - [24/Feb/2025 17:21:46] "GET /socket.io/?EIO=4&transport=websocket&sid=a9T3fE6zB_NpqbZyAAAA HTTP/1.1" 200 -
2025-02-24 17:21:46,110 - 127.0.0.1 - - [24/Feb/2025 17:21:46] "GET / HTTP/1.1" 200 -
2025-02-24 17:21:46,165 - 127.0.0.1 - - [24/Feb/2025 17:21:46] "GET /socket.io/?EIO=4&transport=polling&t=PKtp8Zg HTTP/1.1" 200 -
2025-02-24 17:21:46,181 - 127.0.0.1 - - [24/Feb/2025 17:21:46] "POST /socket.io/?EIO=4&transport=polling&t=PKtp8a2&sid=FzHW9IORhjID1GuQAAAC HTTP/1.1" 200 -
2025-02-24 17:21:46,184 - 127.0.0.1 - - [24/Feb/2025 17:21:46] "GET /socket.io/?EIO=4&transport=polling&t=PKtp8a3&sid=FzHW9IORhjID1GuQAAAC HTTP/1.1" 200 -
2025-02-24 17:21:46,192 - 127.0.0.1 - - [24/Feb/2025 17:21:46] "GET /socket.io/?EIO=4&transport=polling&t=PKtp8aE&sid=FzHW9IORhjID1GuQAAAC HTTP/1.1" 200 -
2025-02-24 17:21:46,513 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:47,056 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:47,518 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:48,057 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:48,521 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:49,062 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:49,525 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:50,063 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:50,528 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:51,065 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:51,535 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:52,069 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:52,541 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:53,075 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:53,546 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:54,080 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:54,552 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:55,086 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:55,554 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:56,086 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:56,559 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:57,091 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:57,561 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:58,095 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:58,564 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:59,101 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:21:59,569 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:22:00,106 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:22:00,574 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:22:01,117 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:22:01,582 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:22:02,117 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:22:02,587 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:22:03,121 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:22:03,592 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
2025-02-24 17:22:04,126 - Alert sent to Aman Retailer: Alert: Stock Near Expiry - {'image_url': '', 'quantity': 0}
